x,y,t
672,140,1454
672,146,1467
672,153,1481
671,163,1495
671,174,1513
670,185,1531
669,197,1546
668,209,1562
667,222,1578
665,248,1595
664,260,1612
663,272,1633
663,285,1646
663,297,1666
662,308,1678
662,320,1696
662,341,1713
662,350,1729
661,358,1748
660,365,1764
659,371,1778
658,376,1796
656,381,1812
654,385,1829
652,389,1845
650,394,1862
646,402,1879
644,406,1896
643,409,1912
639,416,1929
638,420,1945
637,421,1962
635,423,1979
633,426,1995
630,427,2012
626,428,2029
614,428,2046
606,428,2062
597,428,2079
579,428,2097
569,428,2112
560,428,2129
550,430,2145
540,432,2162
521,436,2179
512,438,2195
496,441,2211
488,443,2228
480,444,2245
467,446,2262
461,447,2279
455,447,2295
444,449,2312
439,449,2329
434,450,2345
429,451,2363
420,453,2379
416,454,2396
407,457,2413
402,458,2429
399,459,2445
395,460,2462
388,461,2479
385,461,2497
382,461,2512
379,461,2528
373,460,2546
370,459,2562
366,458,2579
365,458,2595
364,458,2612
364,458,2629
